{19}      	{8}       	13.20	55.00
{8}       	{1}       	15.40	34.07
{1}       	{8}       	15.40	51.68
{17}      	{4}       	5.60	23.53
{4}       	{17}      	5.60	22.76
{1}       	{3}       	10.80	36.24
{3}       	{1}       	10.80	36.00
{8}       	{17}      	12.00	26.55
{17}      	{8}       	12.00	50.42
{0}       	{2}       	8.60	32.09
{2}       	{0}       	8.60	32.58
{0}       	{10}      	10.00	37.31
{10}      	{0}       	10.00	34.48
{0}       	{18}      	8.40	31.34
{18}      	{0}       	8.40	30.43
{5}       	{15}      	9.20	36.51
{15}      	{5}       	9.20	32.86
{10}      	{5}       	7.20	24.83
{5}       	{10}      	7.20	28.57
{2}       	{10}      	8.80	33.33
{10}      	{2}       	8.80	30.34
{16}      	{0}       	10.20	24.06
{0}       	{16}      	10.20	38.06
{10}      	{4}       	8.40	28.97
{4}       	{10}      	8.40	34.15
{16}      	{5}       	12.20	28.77
{5}       	{16}      	12.20	48.41
{8}       	{10}      	13.40	29.65
{10}      	{8}       	13.40	46.21
{8}       	{18}      	14.80	32.74
{18}      	{8}       	14.80	53.62
{8}       	{5}       	12.60	27.88
{5}       	{8}       	12.60	50.00
{8}       	{15}      	12.40	27.43
{15}      	{8}       	12.40	44.29
{10}      	{6}       	7.60	26.21
{6}       	{10}      	7.60	33.63
{2}       	{6}       	7.40	28.03
{6}       	{2}       	7.40	32.74
{0}       	{5}       	7.40	27.61
{5}       	{0}       	7.40	29.37
{18}      	{10}      	9.20	33.33
{10}      	{18}      	9.20	31.72
{8}       	{6}       	12.60	27.88
{6}       	{8}       	12.60	55.75
{16}      	{18}      	13.20	31.13
{18}      	{16}      	13.20	47.83
{16}      	{10}      	13.40	31.60
{10}      	{16}      	13.40	46.21
{0}       	{15}      	9.00	33.58
{15}      	{0}       	9.00	32.14
{4}       	{6}       	6.60	26.83
{6}       	{4}       	6.60	29.20
{10}      	{15}      	8.80	30.34
{15}      	{10}      	8.80	31.43
{16}      	{6}       	10.80	25.47
{6}       	{16}      	10.80	47.79
{0}       	{6}       	6.80	25.37
{6}       	{0}       	6.80	30.09
{0}       	{4}       	5.60	20.90
{4}       	{0}       	5.60	22.76
{5}       	{6}       	6.20	24.60
{6}       	{5}       	6.20	27.43
{8}       	{0}       	11.80	26.11
{0}       	{8}       	11.80	44.03
{9}       	{13}      	7.20	25.90
{13}      	{9}       	7.20	24.32
{9}       	{1}       	9.60	34.53
{1}       	{9}       	9.60	32.21
{8}       	{13}      	14.40	31.86
{13}      	{8}       	14.40	48.65
{9}       	{3}       	9.40	33.81
{3}       	{9}       	9.40	31.33
{16}      	{9}       	13.20	31.13
{9}       	{16}      	13.20	47.48
{8}       	{9}       	13.80	30.53
{9}       	{8}       	13.80	49.64
{9}       	{4}       	9.00	32.37
{4}       	{9}       	9.00	36.59
{3}       	{13}      	9.00	30.00
{13}      	{3}       	9.00	30.41
{8}       	{11}      	12.40	27.43
{11}      	{8}       	12.40	45.26
{0}       	{11}      	9.20	34.33
{11}      	{0}       	9.20	33.58
{17}      	{6}       	7.20	30.25
{6}       	{17}      	7.20	31.86
{3}       	{6}       	6.20	20.67
{6}       	{3}       	6.20	27.43
{10}      	{13}      	11.20	38.62
{13}      	{10}      	11.20	37.84
{1}       	{10}      	10.20	34.23
{10}      	{1}       	10.20	35.17
{9}       	{2}       	7.20	25.90
{2}       	{9}       	7.20	27.27
{18}      	{13}      	7.80	28.26
{13}      	{18}      	7.80	26.35
{10}      	{19}      	6.80	23.45
{19}      	{10}      	6.80	28.33
{9}       	{10}      	8.40	30.22
{10}      	{9}       	8.40	28.97
{19}      	{13}      	7.40	30.83
{13}      	{19}      	7.40	25.00
{13}      	{5}       	9.40	31.76
{5}       	{13}      	9.40	37.30
{12}      	{5}       	7.80	31.97
{5}       	{12}      	7.80	30.95
{10}      	{12}      	7.80	26.90
{12}      	{10}      	7.80	31.97
{12}      	{13}      	9.20	37.70
{13}      	{12}      	9.20	31.08
{9}       	{5}       	9.00	32.37
{5}       	{9}       	9.00	35.71
{1}       	{6}       	7.00	23.49
{6}       	{1}       	7.00	30.97
{4}       	{12}      	7.60	30.89
{12}      	{4}       	7.60	31.15
{13}      	{6}       	7.20	24.32
{6}       	{13}      	7.20	31.86
{1}       	{12}      	8.20	27.52
{12}      	{1}       	8.20	33.61
{16}      	{12}      	13.40	31.60
{12}      	{16}      	13.40	54.92
{17}      	{15}      	7.40	31.09
{15}      	{17}      	7.40	26.43
{17}      	{13}      	7.00	29.41
{13}      	{17}      	7.00	23.65
{17}      	{10}      	7.20	30.25
{10}      	{17}      	7.20	24.83
{17}      	{12}      	6.80	28.57
{12}      	{17}      	6.80	27.87
{1}       	{14}      	8.20	27.52
{14}      	{1}       	8.20	32.03
{10}      	{11}      	9.60	33.10
{11}      	{10}      	9.60	35.04
{4}       	{14}      	8.20	33.33
{14}      	{4}       	8.20	32.03
{10}      	{14}      	8.40	28.97
{14}      	{10}      	8.40	32.81
{3}       	{5}       	7.80	26.00
{5}       	{3}       	7.80	30.95
{18}      	{3}       	9.00	32.61
{3}       	{18}      	9.00	30.00
{5}       	{7}       	7.20	28.57
{7}       	{5}       	7.20	30.00
{0}       	{13}      	10.00	37.31
{13}      	{0}       	10.00	33.78
{10}      	{3}       	8.40	28.97
{3}       	{10}      	8.40	28.00
{2}       	{14}      	8.40	31.82
{14}      	{2}       	8.40	32.81
{16}      	{14}      	11.00	25.94
{14}      	{16}      	11.00	42.97
{0}       	{19}      	7.00	26.12
{19}      	{0}       	7.00	29.17
{13}      	{14}      	11.00	37.16
{14}      	{13}      	11.00	42.97
{0}       	{1}       	6.60	24.63
{1}       	{0}       	6.60	22.15
{0}       	{14}      	7.60	28.36
{14}      	{0}       	7.60	29.69
{8}       	{14}      	11.20	24.78
{14}      	{8}       	11.20	43.75
{0}       	{7}       	7.40	27.61
{7}       	{0}       	7.40	30.83
{10}      	{7}       	6.00	20.69
{7}       	{10}      	6.00	25.00
{0}       	{9}       	7.60	28.36
{9}       	{0}       	7.60	27.34
{0}       	{3}       	5.60	20.90
{3}       	{0}       	5.60	18.67
{17}      	{18}      	7.20	30.25
{18}      	{17}      	7.20	26.09
{2}       	{12}      	8.20	31.06
{12}      	{2}       	8.20	33.61
{9}       	{17}      	7.40	26.62
{17}      	{9}       	7.40	31.09
{0}       	{12}      	6.20	23.13
{12}      	{0}       	6.20	25.41
{0}       	{17}      	7.40	27.61
{17}      	{0}       	7.40	31.09
{8}       	{12}      	11.80	26.11
{12}      	{8}       	11.80	48.36
{17}      	{11}      	7.20	30.25
{11}      	{17}      	7.20	26.28
{3}       	{12}      	8.00	26.67
{12}      	{3}       	8.00	32.79
{17}      	{5}       	6.40	26.89
{5}       	{17}      	6.40	25.40
{3}       	{15}      	7.60	25.33
{15}      	{3}       	7.60	27.14
{5}       	{14}      	7.20	28.57
{14}      	{5}       	7.20	28.12
{3}       	{11}      	7.80	26.00
{11}      	{3}       	7.80	28.47
{19}      	{5}       	7.20	30.00
{5}       	{19}      	7.20	28.57
{11}      	{5}       	7.60	27.74
{5}       	{11}      	7.60	30.16
{17}      	{14}      	5.80	24.37
{14}      	{17}      	5.80	22.66
{3}       	{14}      	6.80	22.67
{14}      	{3}       	6.80	26.56
{16}      	{1,13}    	5.80	13.68
{1}       	{16,13}   	5.80	19.46
{13}      	{16,1}    	5.80	19.59
{16,1}    	{13}      	5.80	35.80
{16,13}   	{1}       	5.80	42.03
{1,13}    	{16}      	5.80	56.86
{16}      	{1,11}    	5.00	11.79
{1}       	{16,11}   	5.00	16.78
{11}      	{16,1}    	5.00	18.25
{16,1}    	{11}      	5.00	30.86
{16,11}   	{1}       	5.00	40.98
{1,11}    	{16}      	5.00	67.57
{16}      	{1,2}     	5.00	11.79
{1}       	{16,2}    	5.00	16.78
{2}       	{16,1}    	5.00	18.94
{16,1}    	{2}       	5.00	30.86
{16,2}    	{1}       	5.00	36.76
{1,2}     	{16}      	5.00	55.56
{16}      	{1,15}    	6.00	14.15
{1}       	{16,15}   	6.00	20.13
{15}      	{16,1}    	6.00	21.43
{16,1}    	{15}      	6.00	37.04
{16,15}   	{1}       	6.00	43.48
{1,15}    	{16}      	6.00	55.56
{16}      	{1,4}     	5.40	12.74
{1}       	{16,4}    	5.40	18.12
{4}       	{16,1}    	5.40	21.95
{16,1}    	{4}       	5.40	33.33
{16,4}    	{1}       	5.40	50.94
{1,4}     	{16}      	5.40	58.70
{8}       	{3,4}     	7.40	16.37
{3}       	{8,4}     	7.40	24.67
{4}       	{8,3}     	7.40	30.08
{8,3}     	{4}       	7.40	28.68
{8,4}     	{3}       	7.40	62.71
{3,4}     	{8}       	7.40	88.10
{8}       	{17,3}    	6.80	15.04
{17}      	{8,3}     	6.80	28.57
{3}       	{8,17}    	6.80	22.67
{8,17}    	{3}       	6.80	56.67
{8,3}     	{17}      	6.80	26.36
{17,3}    	{8}       	6.80	89.47
{16}      	{1,3}     	9.60	22.64
{1}       	{16,3}    	9.60	32.21
{3}       	{16,1}    	9.60	32.00
{16,1}    	{3}       	9.60	59.26
{16,3}    	{1}       	9.60	38.10
{1,3}     	{16}      	9.60	88.89
{16}      	{8,1}     	11.60	27.36
{1}       	{16,8}    	11.60	38.93
{8}       	{16,1}    	11.60	25.66
{16,1}    	{8}       	11.60	71.60
{16,8}    	{1}       	11.60	38.41
{8,1}     	{16}      	11.60	75.32
{16}      	{3,7}     	6.40	15.09
{3}       	{16,7}    	6.40	21.33
{7}       	{16,3}    	6.40	26.67
{16,3}    	{7}       	6.40	25.40
{16,7}    	{3}       	6.40	65.31
{3,7}     	{16}      	6.40	86.49
{16}      	{8,2}     	8.60	20.28
{8}       	{16,2}    	8.60	19.03
{2}       	{16,8}    	8.60	32.58
{16,8}    	{2}       	8.60	28.48
{16,2}    	{8}       	8.60	63.24
{8,2}     	{16}      	8.60	64.18
{16}      	{17,3}    	6.20	14.62
{17}      	{16,3}    	6.20	26.05
{3}       	{16,17}   	6.20	20.67
{16,17}   	{3}       	6.20	47.69
{16,3}    	{17}      	6.20	24.60
{17,3}    	{16}      	6.20	81.58
{8}       	{16,3}    	24.00	53.10
{16}      	{8,3}     	24.00	56.60
{3}       	{8,16}    	24.00	80.00
{8,16}    	{3}       	24.00	79.47
{8,3}     	{16}      	24.00	93.02
{16,3}    	{8}       	24.00	95.24
{16}      	{3,4}     	6.20	14.62
{3}       	{16,4}    	6.20	20.67
{4}       	{16,3}    	6.20	25.20
{16,3}    	{4}       	6.20	24.60
{16,4}    	{3}       	6.20	58.49
{3,4}     	{16}      	6.20	73.81
{16}      	{8,17}    	8.80	20.75
{17}      	{16,8}    	8.80	36.97
{8}       	{16,17}   	8.80	19.47
{16,17}   	{8}       	8.80	67.69
{16,8}    	{17}      	8.80	29.14
{8,17}    	{16}      	8.80	73.33
{8}       	{3,7}     	6.60	14.60
{3}       	{8,7}     	6.60	22.00
{7}       	{8,3}     	6.60	27.50
{8,3}     	{7}       	6.60	25.58
{8,7}     	{3}       	6.60	56.90
{3,7}     	{8}       	6.60	89.19
{16}      	{8,7}     	7.40	17.45
{8}       	{16,7}    	7.40	16.37
{7}       	{16,8}    	7.40	30.83
{16,8}    	{7}       	7.40	24.50
{16,7}    	{8}       	7.40	75.51
{8,7}     	{16}      	7.40	63.79
{16}      	{8,4}     	7.20	16.98
{8}       	{16,4}    	7.20	15.93
{4}       	{16,8}    	7.20	29.27
{16,8}    	{4}       	7.20	23.84
{16,4}    	{8}       	7.20	67.92
{8,4}     	{16}      	7.20	61.02
{3}       	{16,19}   	5.60	18.67
{16}      	{19,3}    	5.60	13.21
{19}      	{16,3}    	5.60	23.33
{16,3}    	{19}      	5.60	22.22
{19,3}    	{16}      	5.60	77.78
{16,19}   	{3}       	5.60	47.46
{8}       	{2,3}     	6.20	13.72
{2}       	{8,3}     	6.20	23.48
{3}       	{8,2}     	6.20	20.67
{8,2}     	{3}       	6.20	46.27
{8,3}     	{2}       	6.20	24.03
{2,3}     	{8}       	6.20	86.11
{16}      	{2,3}     	6.40	15.09
{2}       	{16,3}    	6.40	24.24
{3}       	{16,2}    	6.40	21.33
{16,2}    	{3}       	6.40	47.06
